entity_id,state,last_changed
sensor.lixee_zlinky_tic_puissance_apparente,928,2026-07-17T22:18:15.015Z
sensor.lixee_zlinky_tic_puissance_apparente,930,2026-07-17T22:18:22.047Z
sensor.lixee_zlinky_tic_puissance_apparente,935,2026-07-17T22:18:28.080Z
sensor.lixee_zlinky_tic_puissance_apparente,932,2026-07-17T22:18:35.108Z
sensor.lixee_zlinky_tic_puissance_apparente,928,2026-07-17T22:18:41.125Z
sensor.lixee_zlinky_tic_puissance_apparente,929,2026-07-17T22:18:48.148Z
sensor.lixee_zlinky_tic_puissance_apparente,932,2026-07-17T22:18:54.170Z
sensor.lixee_zlinky_tic_puissance_apparente,936,2026-07-17T22:19:00.187Z
sensor.lixee_zlinky_tic_puissance_apparente,934,2026-07-17T22:19:07.219Z
sensor.lixee_zlinky_tic_puissance_apparente,930,2026-07-17T22:19:13.235Z
sensor.lixee_zlinky_tic_puissance_apparente,932,2026-07-17T22:19:20.267Z
sensor.lixee_zlinky_tic_puissance_apparente,933,2026-07-17T22:19:26.284Z
sensor.lixee_zlinky_tic_puissance_apparente,936,2026-07-17T22:19:33.318Z
sensor.lixee_zlinky_tic_puissance_apparente,935,2026-07-17T22:19:39.344Z
sensor.lixee_zlinky_tic_puissance_apparente,933,2026-07-17T22:19:45.360Z
sensor.lixee_zlinky_tic_puissance_apparente,932,2026-07-17T22:19:52.405Z
sensor.lixee_zlinky_tic_puissance_apparente,938,2026-07-17T22:20:05.456Z
sensor.lixee_zlinky_tic_puissance_apparente,937,2026-07-17T22:20:11.467Z
sensor.lixee_zlinky_tic_puissance_apparente,936,2026-07-17T22:20:18.502Z
sensor.lixee_zlinky_tic_puissance_apparente,932,2026-07-17T22:20:24.516Z
sensor.lixee_zlinky_tic_puissance_apparente,933,2026-07-17T22:20:31.548Z
sensor.lixee_zlinky_tic_puissance_apparente,936,2026-07-17T22:20:37.573Z
sensor.lixee_zlinky_tic_puissance_apparente,938,2026-07-17T22:20:43.588Z
sensor.lixee_zlinky_tic_puissance_apparente,934,2026-07-17T22:20:50.621Z
sensor.lixee_zlinky_tic_puissance_apparente,935,2026-07-17T22:21:03.689Z
sensor.lixee_zlinky_tic_puissance_apparente,936,2026-07-17T22:21:09.687Z
sensor.lixee_zlinky_tic_puissance_apparente,943,2026-07-17T22:21:16.718Z
sensor.lixee_zlinky_tic_puissance_apparente,942,2026-07-17T22:21:22.743Z
sensor.lixee_zlinky_tic_puissance_apparente,936,2026-07-17T22:21:28.765Z
sensor.lixee_zlinky_tic_puissance_apparente,937,2026-07-17T22:21:35.795Z
sensor.lixee_zlinky_tic_puissance_apparente,940,2026-07-17T22:21:48.841Z
sensor.lixee_zlinky_tic_puissance_apparente,935,2026-07-17T22:21:54.861Z
sensor.lixee_zlinky_tic_puissance_apparente,930,2026-07-17T22:22:01.889Z
sensor.lixee_zlinky_tic_puissance_apparente,932,2026-07-17T22:22:14.953Z
sensor.lixee_zlinky_tic_puissance_apparente,937,2026-07-17T22:22:20.968Z
sensor.lixee_zlinky_tic_puissance_apparente,934,2026-07-17T22:22:34.025Z
sensor.lixee_zlinky_tic_puissance_apparente,933,2026-07-17T22:22:40.035Z
sensor.lixee_zlinky_tic_puissance_apparente,937,2026-07-17T22:22:47.076Z
sensor.lixee_zlinky_tic_puissance_apparente,942,2026-07-17T22:22:53.084Z
sensor.lixee_zlinky_tic_puissance_apparente,941,2026-07-17T22:23:00.110Z
sensor.lixee_zlinky_tic_puissance_apparente,939,2026-07-17T22:23:06.130Z
sensor.lixee_zlinky_tic_puissance_apparente,935,2026-07-17T22:23:13.161Z
sensor.lixee_zlinky_tic_puissance_apparente,936,2026-07-17T22:23:19.200Z
sensor.lixee_zlinky_tic_puissance_apparente,941,2026-07-17T22:23:25.211Z
sensor.lixee_zlinky_tic_puissance_apparente,942,2026-07-17T22:23:32.241Z
sensor.lixee_zlinky_tic_puissance_apparente,940,2026-07-17T22:23:38.256Z
sensor.lixee_zlinky_tic_puissance_apparente,939,2026-07-17T22:23:45.287Z
sensor.lixee_zlinky_tic_puissance_apparente,938,2026-07-17T22:23:51.305Z
sensor.lixee_zlinky_tic_puissance_apparente,942,2026-07-17T22:23:58.338Z
sensor.lixee_zlinky_tic_puissance_apparente,945,2026-07-17T22:24:04.357Z
sensor.lixee_zlinky_tic_puissance_apparente,944,2026-07-17T22:24:10.368Z
sensor.lixee_zlinky_tic_puissance_apparente,939,2026-07-17T22:24:17.409Z
sensor.lixee_zlinky_tic_puissance_apparente,940,2026-07-17T22:24:30.464Z
sensor.lixee_zlinky_tic_puissance_apparente,946,2026-07-17T22:24:36.480Z
sensor.lixee_zlinky_tic_puissance_apparente,945,2026-07-17T22:24:43.506Z
sensor.lixee_zlinky_tic_puissance_apparente,942,2026-07-17T22:24:49.529Z
sensor.lixee_zlinky_tic_puissance_apparente,941,2026-07-17T22:24:56.562Z
sensor.lixee_zlinky_tic_puissance_apparente,950,2026-07-17T22:25:08.598Z
sensor.lixee_zlinky_tic_puissance_apparente,969,2026-07-17T22:25:15.631Z
sensor.lixee_zlinky_tic_puissance_apparente,987,2026-07-17T22:25:21.642Z
sensor.lixee_zlinky_tic_puissance_apparente,986,2026-07-17T22:25:28.681Z
sensor.lixee_zlinky_tic_puissance_apparente,984,2026-07-17T22:25:34.688Z
sensor.lixee_zlinky_tic_puissance_apparente,989,2026-07-17T22:25:41.725Z
sensor.lixee_zlinky_tic_puissance_apparente,987,2026-07-17T22:25:47.746Z
sensor.lixee_zlinky_tic_puissance_apparente,986,2026-07-17T22:25:54.771Z
sensor.lixee_zlinky_tic_puissance_apparente,983,2026-07-17T22:26:00.790Z
sensor.lixee_zlinky_tic_puissance_apparente,988,2026-07-17T22:26:13.842Z
sensor.lixee_zlinky_tic_puissance_apparente,989,2026-07-17T22:26:19.856Z
sensor.lixee_zlinky_tic_puissance_apparente,987,2026-07-17T22:26:26.888Z
sensor.lixee_zlinky_tic_puissance_apparente,985,2026-07-17T22:26:32.903Z
sensor.lixee_zlinky_tic_puissance_apparente,986,2026-07-17T22:26:39.933Z
sensor.lixee_zlinky_tic_puissance_apparente,988,2026-07-17T22:26:45.964Z
sensor.lixee_zlinky_tic_puissance_apparente,993,2026-07-17T22:26:51.980Z
sensor.lixee_zlinky_tic_puissance_apparente,994,2026-07-17T22:26:59.017Z
sensor.lixee_zlinky_tic_puissance_apparente,987,2026-07-17T22:27:05.029Z
sensor.lixee_zlinky_tic_puissance_apparente,994,2026-07-17T22:27:12.058Z
sensor.lixee_zlinky_tic_puissance_apparente,997,2026-07-17T22:27:25.106Z
sensor.lixee_zlinky_tic_puissance_apparente,999,2026-07-17T22:27:31.123Z
sensor.lixee_zlinky_tic_puissance_apparente,994,2026-07-17T22:27:38.156Z
sensor.lixee_zlinky_tic_puissance_apparente,995,2026-07-17T22:27:44.088Z
sensor.lixee_zlinky_tic_puissance_apparente,997,2026-07-17T22:27:57.223Z
sensor.lixee_zlinky_tic_puissance_apparente,1000,2026-07-17T22:28:03.244Z
sensor.lixee_zlinky_tic_puissance_apparente,993,2026-07-17T22:28:10.276Z
sensor.lixee_zlinky_tic_puissance_apparente,991,2026-07-17T22:28:16.291Z
sensor.lixee_zlinky_tic_puissance_apparente,990,2026-07-17T22:28:23.323Z
sensor.lixee_zlinky_tic_puissance_apparente,995,2026-07-17T22:28:29.342Z
sensor.lixee_zlinky_tic_puissance_apparente,994,2026-07-17T22:28:36.366Z
sensor.lixee_zlinky_tic_puissance_apparente,991,2026-07-17T22:28:42.390Z
sensor.lixee_zlinky_tic_puissance_apparente,989,2026-07-17T22:28:48.407Z
sensor.lixee_zlinky_tic_puissance_apparente,988,2026-07-17T22:28:55.447Z
sensor.lixee_zlinky_tic_puissance_apparente,990,2026-07-17T22:29:01.459Z
sensor.lixee_zlinky_tic_puissance_apparente,995,2026-07-17T22:29:08.490Z
sensor.lixee_zlinky_tic_puissance_apparente,993,2026-07-17T22:29:14.505Z
